,city-cn,lat,lng
537,Kekava-Latvia,56.8296,24.2318
538,Ligatne-Latvia,57.2379,25.0436
539,Stalbe-Latvia,57.3708,25.0324
540,Jelgava-Latvia,56.6527,23.7128
541,Skrunda-Latvia,56.6775,22.0165
542,Vainode-Latvia,56.4185,21.8541
543,Saldus-Latvia,56.6666,22.4935
544,Tukums-Latvia,56.9676,23.1555
545,Tervete-Latvia,56.4798,23.3902
546,Dobele-Latvia,56.6237,23.2751
547,Rezekne-Latvia,56.5,27.3166
548,Aglona-Latvia,56.1327,27.0068
549,Ozolnieki-Latvia,56.6899,23.7761
550,Tripoli-Libya,32.8925,13.18
551,Al `Aziziyah-Libya,32.5319,13.0175
552,Zuwarah-Libya,32.9344,12.0791
553,Al Khums-Libya,32.6604,14.26
554,As Sidr-Libya,30.6704,18.2666
555,Ghadamis-Libya,30.1333,9.5
556,Dirj-Libya,30.1679,10.4567
557,Nalut-Libya,31.8804,10.97
558,Umm al Abid-Libya,27.517,15.0333
559,Sabha-Libya,27.0333,14.4333
560,Birak-Libya,27.5333,14.2834
561,Idri-Libya,27.4471,13.0517
562,Zillah-Libya,28.5504,17.5834
563,Hun-Libya,29.1167,15.9333
564,Az Zawiyah-Libya,32.7604,12.72
565,Awjilah-Libya,29.108,21.2869
566,El Agheila-Libya,30.257,19.2
567,Maradah-Libya,29.2337,19.2166
568,Ajdabiya-Libya,30.77,20.22
569,Darnah-Libya,32.7648,22.6391
570,Al Jaghbub-Libya,29.7504,24.5166
571,Mizdah-Libya,31.4337,12.9833
572,Gharyan-Libya,32.1704,13.02
573,Tubruq-Libya,32.08,23.96
574,Shahhat-Libya,32.8281,21.8622
575,Tajarhi-Libya,24.3704,14.4708
576,Al Bayda-Libya,32.7604,21.62
577,Ghat-Libya,24.9647,10.1728
578,Tmassah-Libya,26.3666,15.8
579,Marzuq-Libya,25.9044,13.8972
580,Al Marj-Libya,32.5005,20.83
581,Surt-Libya,31.21,16.59
582,Bani Walid-Libya,31.7704,13.99
583,Awbari-Libya,26.5903,12.7751
584,Al Jawf-Libya,24.2,23.29
585,Al Kufrah-Libya,24.1667,23.2696
586,Qaminis-Libya,31.6606,20.0155
